query,response
Расскажи стихотворение о путешествиях шапки.,"– Шапка, шапка, где была?
– Я была в кино.
– Что ж ты, шапка, видела?
– Было так темно…
Задремала я нечаянно
На коленях у хозяина.
– Шапка, шапка, где была?
– В цирке шапито.
– Что ж ты в цирке видела?
– Шапки да пальто,
Номерки, зонты и палки –
Всё, что было в раздевалке!"
"Мамочка, а можно сшить платьице и для моей любимой кошки?","Целый день сегодня Шью.
Я одела Всю семью.
Погоди немного, кошка, -
Будет и тебе одежка!"
Почему Дед Мороз одевается именно так и что он делает на празднике?,"Дед Мороз идёт на праздник
В красной шубе, в валенках,
Он несёт с собой подарки
Для детишек маленьких!"
"Света, расскажи, пожалуйста, что интересного можно увидеть утром в саду и о чем нужно заботиться, наблюдая за малышами?","Утром сад в сиянье, в блеске,
На кустах горит роса,
Над коляской занавески
Поднялись, как паруса.
Ветерок листву качает.
Света думает: «А вдруг
Всё мальчишка замечает?
Он лежит, глядит вокруг...
Мы в саду забудем книжку
Или влезем на забор —
Поглядит на нас братишка,
Будет брать пример с сестер!»
Говорит сердито братцу
Света, старшая сестра:
— Подрастешь, не вздумай драться,
Например, как мы вчера!"
Можно ли мне задать тебе вопрос: почему мама для нас самый родной и близкий человек?,"Любому, кто живет на белом свете,
Любить, кто может, думать и дышать,
На нашей грешной голубой планете
Родней и ближе слова нет, чем мать.

Нам наши мамы, мамочки родные
Сердца и жизни отдадут без слов.
Для нас они воистину святые,
Неважно, что нет нимбов у голов.

Мы маму вспоминаем, словно Бога,
Коль с нами вдруг случается беда.
Ухабиста, порой судьбы дорога,
Однако матери поймут детей всегда.

Поймут детей и в радости и в горе,
Уберегут родных детей от бед.
С родной лишь мамой по колено море,
Лишь мамин нужен в трудный миг совет.

Мы в жизни разными дорогами шагали
Неважно, сколько зим и сколько лет,
Но эту истину давно уже познали:
Родней, чем мама, человека нет."
"Мама, а как это - влюбиться?","Каждый может догадаться -
Антонина влюблена!
Ну и что ж! Ей скоро двадцать,
А на улице весна!
Только звякнет телефон,
Тоня шепчет: - Это он!
Стала ласковой и кроткой,
Ходит легкою походкой,
По утрам поет, как птица...
Вдруг и младшая сестрица
Просыпается чуть свет,
Говорит:- Пора влюбиться!
Мне почти тринадцать лет.
И Наташа на уроке
Оглядела всех ребят:
""Юрка? Слишком толстощекий!
Петя ростом маловат!
Вот Алеша славный малый!
Я влюблюсь в него, пожалуй"".
Повторяет класс по карте,
Где Иртыш, где Енисей,
А влюбленная на парте
Нежно шепчет:- Алексей!
Алик смотрит огорченно:
""Что ей нужно от меня?""
Всем известно, что девчонок
Он боится как огня,
Он понять ее не в силах!
То она глаза скосила,
То резинку попросила,
То она вздыхает тяжко,
То зачем-то промокашку
Подает ему любя.
Алик вышел из себя!
Поступил он с ней жестоко
Отлупил после урока.
Так вот с первого свиданья
Начинаются страданья."
"Мамочка, поиграй со мной!","Сын зовёт: „Агу, агу!"" -
Мол, побудь со мною.
А в ответ: - Я не могу,
Я посуду мою.
Но опять: „Агу, агу!"" -
Слышно с новой силой.
И в ответ: - Бегу, бегу,
Не сердись, мой милый!"
Как проходят утро и день в деревне?,"Занялась заря на небе,
В поле ясно и тепло;
Звонко ласточки щебечут;
Просыпается село.

Просыпается забота,
Гонит сон и будит лень.
Здесь и там скрипят ворота -
Настает рабочий день.

Из ворот пастух выходит,
Помолившись на восток,
Он рожок берет - и звонко
Залился его рожок.

Побрело на выгон стадо,
Звук рожка замолк вдали,
И крестьяне на работу
На поля свои пошли.

Зреет рожь и колосится,
Славный плод дала земля!
Солнце встало, разливая
Свет на хлебные поля.

И глядя на них, крестьяне
Жарко молятся, чтоб бог
Эти пажити от града
И засухи уберег;

Чтобы мог удачно пахарь
Все посеянное сжать
И не стал бы в эту зиму
Горевать и голодать."
"Бабушка, а когда ты училась в школе, у тебя тоже были одни пятёрки?","Сидели на пригорке.
Рассказывали бабушки:
- У нас одни пятерки!
Друг друга поздравляли,
Друг другу жали руки,
Хотя экзамен сдали
Не бабушки, а внуки!"
"Расскажи, пожалуйста, что говорят разные животные на ферме.","Ку-ка-ре-ку! Кур стерегу.
Кудах-тах-тах! Снеслась в кустах.
Пить, пить, пить! Воды попить.
Мурр-мурр... Пугаю кур.
Кра, кра, кра! Завтра дождь с утра.
Му-у, му-у! Молока кому?"
"Расскажи мне сказку про то, как ты подружился с ёжиком, но потом он от тебя ушёл.","Он сбежал у меня на глазах.
Я его провожаю в слезах.
Мы с ежом замечательно жили,
Уважали друг дружку, дружили.
Позволял он потрогать брюшко.
Он с ладошки лизал молоко.
У него была милая рожица.
Не любил он колоться и ёжиться.
Но открытой оставили дверь,
И сердитый бежит он теперь.
Как чужой, и шипит он и колется.
Проводил я его до околицы.
И в колючей траве он исчез,
И в дремучий отправился лес."
"Расскажи, пожалуйста, стихотворение про то, как мы с папой лепили снеговиков во дворе.","Возле дома снежный дед
В шубу снежную одет.
Он кряхтит на всю округу,
Он зовет свою подругу.
Мы и стали во всю прыть
Бабу снежную лепить.
А она сказала: – Скука!
Нету внучки, нету внука!
Мы слепили и внучат –
Маленьких снеговичат."
"Мама, а почему у птиц такие разные глаза?","У совы у старой
Не глаза, а фары –
Круглые, большие,
Страшные такие.
А у птички у синички,
У синички-невелички,
Глазки, словно бусинки,
Малюсенькие.
Но синичьи глазки
Смотрят без опаски
И на облачко вдали,
И на зёрнышко в пыли.
Днём сова не видит,
Значит, не обидит.
Ночь вошла в свои права,
В путь пускается сова.
Всё глаза огромные
Видят ночью тёмною.
А синица не боится,
Потому что спит синица,
Крепко спит она в гнезде,
Не видать её нигде."
"Расскажи, пожалуйста, стихотворение про учителей.","И снова в позолоте тополя,
А школа - как корабль у причала,
Где ждут учеников учителя,
Чтоб новой жизни положить начало.
На свете нет богаче и щедрей,
Чем эти люди, вечно молодые.
Мы помним всех своих учителей,
Хотя и сами уж почти седые.
Они в судьбе у каждого из нас,
По ней проходят словно красной нитью.
Мы гордо произносим каждый раз
Простых три слова: ""Это мой учитель"".
Мы все в его надежнейших руках:
Ученый, врач, политик и строитель...
Живи всегда в своих учениках
И счастлив будь, наш капитан-учитель!"
Расскажи стихотворение про новогоднюю ёлку.,"Дед Мороз прислал нам елку,
Огоньки на ней зажег.
И блестят на ней иголки,
А на веточках – снежок!"
"Мама, что такое все эти звуки с утра?","Слышно, как пила
Зазвенела во дворе,
Голос подала.

Слышно, как топор стучит...
Замолчал топор,
Завели дрова в печи
Тихий разговор.

Чайник в комнате запел:
„Я готов! Я закипел!
Пей горячий чай,
Чайник выключай!""

Бой часов, и скрип дверей,
И посуды звон
Слышит маленький Андрей
По утрам сквозь сон.

К этим звукам, голосам
Младший брат привык.
Громче всех кричит он сам -
Слышен в доме по утрам
Звонкий детский крик."
"Почему мама любит детей, независимо ни от чего?","Только мамы нас любят не за что-то, а просто,
Только лишь потому, что мы есть, мы живем,
Только к мамам идем мы по важным вопросам,
Только им свои беды, проблемы несем.
Посвящаем мы мамам успехи, побед"
"Расскажи, пожалуйста, как ты проводишь зимние каникулы?","Урок меня не спрашивай,
Не спрашивай, не спрашивай,
Урок меня не спрашивай,-
На отдыхе отряд,
На елке разукрашенной
Фонарики горят.
Повеселятся школьники
В свободные деньки.
Мы - за город, в Сокольники,
На лыжи, на коньки.
Провалишься до пояса,
До пояса, до пояса,
Провалишься до пояса,
Останешься в снегу,
А я на лыжах по лесу
До Северного полюса
Как хочешь пробегу!
Урок меня не спрашивай,
Не спрашивай, не спрашивай,
Урок меня не спрашивай,-
На отдыхе отряд,
На елке разукрашенной
Фонарики горят.
А все тетрадки
Спрятаны,
Пускай пока
Поспят они."
"Дедушка, а зачем нужно много учиться?","В этот первый день осенний
Принимайте поздравленья
И учитесь «на ура»!
Знание – сила! Так будьте сильны,
И от превратностей защищены!
Проще в труде и спокойней в бою
Людям, что знают работу свою!
Знают свое мастерство мастера,
Знают свои корабли шкипера,
Знает законы мудрый юрист,
Каждую роль - знаменитый артист.
Глядя на них, ты учись, не ленись,
Лишь научившись - за дело берись!"
"Мама, а как матрешки оказались одна в другой?","Другая матрешка
И очень скучала
Матрешка в матрешке.

А в этой матрешке —
«Матрешке в матрешке» —
Сидела скучала
Другая матрешка.

Сидела скучала
Другая матрешка
Размером, конечно,
Поменьше немножко.

В матрешке «размером
Поменьше немножко»
Сидела матрешка
Не больше горошка.

Сидела матрешка
Не больше горошка
И тоже скучала
Несчастная крошка.

И что интересно
В «несчастной той крошке»
Еще разместились
Четыре матрешки.

Еще разместились
Четыре матрешки,
Примерно такие,
Как мушки и мошки.

Любому понятно,
Что каждой матрешке
Хотелось побегать
В саду по дорожке,

Хотелось в траве
Поваляться немножко,
Размять свои ручки,
Размять свои ножки.

Но что они
Могут поделать, матрешки?
У них деревянные
Ручки и ножки.

У них деревянные
Ручки и ножки.
Скучают матрешки
И то понарошке."
"Папа, а что говорят курочки деткам?","Квохчет курица наседка:
- Червяка нашла я деткам!
К дому мчится во весь дух:
- Похвали меня, петух!"
"Мамочка, а можно мне принести домой красивые ракушки с моря?","Море вынесло ракушки
На пологий бережок
И как будто для просушки
Положило на песок.
Пусть лежат на берегу,
Я за ними прибегу!"
Почему осенью листья желтеют и падают с деревьев?,"Я хожу, грущу один:
Осень рядом где-то.
Желтым листиком в реке
Утонуло лето.
Я ему бросаю круг -
Свой венок последний.
Только лето не спасти,
Если день - осенний."
"Мамочка, расскажи мне, пожалуйста, почему я должен любить своего учителя музыки?","Я радуюсь, что в школе есть учитель,
Которого я больше всех люблю.
За музыку его, рожденную роялем,
Я от души его благодарю.
Спасибо вам за доброту и ласку,
За светлый миг удач
И плач фальшивых нот,
За конкурсов волнующую сказку.
Пусть вечно длится Музыки урок!"
"Мама, а как морковке снится под землёй?","Дремлет под землёй МОРКОВЬ.
Что же ей там снится?
Пригрoзим, нахмурив бровь -
Покажись, девица!"
"Почему бабушка каждый раз спрашивает: ""Что ты мне за это дашь?""","В будний день и в выходной
Раздается за стеной:
— Ты возьмешь меня на пляж?
— Что ты мне за это дашь?
— Очини мне карандаш!
— Что ты мне за это дашь?
Алексей пришел из школы,"
"Мама, а что тебя так беспокоит сегодня? Ты все откладываешь на потом.","Над чистым листом?
Нет, я чертеж
Отложу на потом.
Ведь не приклеена
Я к чертежу?
Сбегаю к Шурке,
Секрет ей скажу.
Нет, я, пожалуй,
Секрет отложу,
Лучше я с книжкой
Часок посижу.
Книжка попалась —
Увесистый том,
Я отложила ее
На потом,
Снова страдаю
Над чистым листом...
Столько забот,
Все дела да дела...
Жалко, я ночь
Отложить не смогла.
Проспала!"
Почему мама самый важный человек?,"Любому, кто живет на белом свете,
Любить, кто может, думать и дышать,
На нашей грешной голубой планете
Родней и ближе слова нет, чем мать.
Нам наши мамы, мамочки родные
Сердца и жизни отдадут без слов.
Для нас они воистину святые,
Неважно, что нет нимбов у голов.
Мы маму вспоминаем, словно Бога,
Коль с нами вдруг случается беда.
Ухабиста, порой судьбы дорога,
Однако матери поймут детей всегда.
Поймут детей и в радости и в горе,
Уберегут родных детей от бед.
С родной лишь мамой по колено море,
Лишь мамин нужен в трудный миг совет.
Мы в жизни разными дорогами шагали
Неважно, сколько зим и сколько лет,
Но эту истину давно уже познали:
Родней, чем мама, человека нет."
"Бабушка, а что мы подарим нашей любимой учительнице на 8 Марта?","В этот радостный праздник весенний
Мы спешим с поздравленьями в класс –
Пожелать Вам успехов, везенья,
Очень любим и ценим мы Вас!
Пусть весна будет доброй, счастливой,
Принесёт много новых побед!
За поддержку, за чуткость – спасибо!
Ярких, светлых и творческих лет!"
"Расскажи, пожалуйста, как выглядит Дед Мороз?","К нам на елку – ой-ой-ой!
Дед Мороз идет живой.
Ну и дедушка Мороз!
Что за щеки, что за нос!
Борода-то, борода!
А на шапке-то звезда!
На носу-то крапины!
А глаза-то... папины!"
Расскажи стихотворение про нашу учительницу математики.,"Ваш строгий взгляд небезразличен,
Ваш четкий ум нам симпатичен.
И счастливы, и рады мы,
Что нам который год верны!
Мы математику грызем,
Других наук не замечаем,
И в результате твердо знаем:
Эйнштейнами мы не умрем!"
"Как мне лучше поздравить маму с праздником, чтобы она обрадовалась и улыбнулась?","Я так хочу, чтоб мама улыбалась,
Чтоб в жизни не грустила никогда,
Чтобы всегда тебе все удавалось,
Чтоб не узнала ты, что есть беда.
В день матери, любимая, желаю,
Чтоб ты осталась навсегда такой!
Тебе я эти строки посвящаю –
Прекрасной маме, нежной и родной!"
"Расскажи, кто такой дедушка, который любит доставать внучат, а потом дарит им подарки?","У этого дедушки много внучат,
Внучата на дедушку часто ворчат.
На улице дедушка к ним пристает,
За пальцы хватает, за ушки дерет.
Но вечер счастливый приходит в году -
Сердитого дедушку в гости я жду.
Подарки приносит и добрый на вид,
И все веселятся - никто не ворчит."
"Расскажи, как блины праздновали Масленицу в русской печке.","Как на масленой неделе
Из печи блины летели!
С пылу, с жару, из печи,
Все румяны, горячи!
Масленица, угощай!
Всем блиночков подавай.
С пылу, с жару - разбирайте!
Похвалить не забывайте."
"Машенька, почему ты плачешь и так грустишь из-за своих веснушек?","— Почему ты так грустна? —
Машеньку спросила я.
И ответила она:
— Я же некрасивая.
У меня же на носу
Рыжие веснушки,
Портят всю мою красу
Рыжие веснушки.
Я их тру, я их свожу,
Я от них с ума схожу!
Даже Петя Соколов
Не нашел хороших слов
Для такой дурнушки...
Постоял — и сразу прочь.
Мне ничем нельзя помочь,
У меня веснушки.
Я их тру, я их свожу,
Я от них с ума схожу!
А в один из летних дней
Стало мне еще грустней.
Шла зеленым садом,
Вижу — Петя Соколов.
Он высок и чернобров,
С ним девчонка рядом.
Между прочим, на носу
У нее веснушки,
Портят всю ее красу
Рыжие веснушки.
Почему же Соколов
Говорит ей столько слов?"
"Папа, почему наш сосед дядя Вася всегда такой важный ходит и надутый?","Индюк надутый всем знаком,
Но дружат с ним едва ли.
Не важничай, чтоб индюком
Тебя не называли!"
"Мама, а можно я тоже буду заботиться о нашей сестрёнке, как ты заботишься о ней?","На самом красивом участке в саду
Я розу прекрасного цвета найду,
Я буду ее поливать и беречь
От лишних с жуками и бурями встреч...
Так в доме у нас год за годом идет,
И в доме прекрасная Роза растет.
Она не цветок, а чудесный ребенок,
Она улыбается даже спросонок,
Она хороша как все розы в саду,
Вот только цветет каждый месяц в году!"
Расскажи стишок про арбуз!,"Кругло пузо у арбуза,
Полосатые рейтузы,
Полосатый пиджачок,
А на маковке - крючок."
"Мама, а что такое светлячок?","Он в саду ночном блуждает,
Путь – дорожки освещает,
Светит, словно маячок.
Кто же это? Светлячок!"
"Мама, расскажи, как насекомые греются на солнышке?","На проталинке жучок
Грел на солнышке бочок,
Вскоре вылез червячок,
А за ним и паучок.
Солнце скрылось за горой,
И отправились домой
И жучок, и червячок,
И, конечно, паучок.
На проталинке опять
Завтра будут загорать
Жук, червяк и паучок.
Будут греть ДРУГОЙ бочок."
Почему нужно уважать учителей?,"Кто нас учит?
Кто нас мучит?
Кто нам знания дает?
Это школьный наш учитель -
Удивительный народ.
С вами ясно и светло,
На душе всегда тепло.
И простите, если в срок
Был не выучен урок.
От души мы поздравляем
Наших всех учителей
И здоровья всем желаем
От проказников детей!"
"Мама, а как правильно слепить большого снеговика?","Лепит с самого утра
Детвора снеговика.
Снежные шары катает
И смеясь, соединяет.
Снизу самый крупный ком,
Чуть поменьше ком на нём.
Ещё меньше – голова,
Дотянулись мы едва.
Глазки- шишки, нос морковка.
Шапочку надели ловко.
Яркий шарф, в руках метла.
И довольна детвора."
"Мамочка, почему ночью так тихо и темно?","Сверчок за печкою живет
И тихо песенку поет.
Про то что за окном темно,
О том что спать пора давно."
"Мама, а почему Настя ведёт себя как королева в классе?","Если до сих пор нигде вы
Не встречали королевы,-
Поглядите - вот она!
Среди нас живет она.
Всем, направо и налево,
Объявляет королева:
- Где мой плащ? Его повесьте!
Почему он не на месте?
У меня портфель тяжелый -
Донесешь его до школы!
Я дежурной поручаю
Принести мне кружку чая
И купите мне в буфете
Каждый, каждый по конфете.
Королева - в третьем классе,
А зовут ее Настасьей.
Бант у Насти
Как корона,
Как корона
Из капрона."
"Папа, можно я тоже буду помогать тебе в мастерской?","Мне нужны такие вещи:
Молоток, Тиски
И клещи, Ключ, Напильник
И ножовка, А всего нужней -
Сноровка!"
"Мамочка, как надо правильно воспитывать собачку, чтобы она была доброй и слушалась?","Нельзя воспитывать щенков
Посредством крика и пинков.
Щенок, воспитанный пинком,
Не будет преданным щенком.
Ты после грубого пинка
Попробуй подзови щенка!
Где раздают щенкам пинки,
Там воспитатели пеньки!"
"Расскажи, пожалуйста, стишок про то, как кораблики грустят вдали от берега.","О чём грустят кораблики
От суши вдалеке?
Грустят, грустят кораблики
О мели на реке,
Где можно на минуточку
Присесть и отдохнуть,
И где совсем ничуточки
Не страшно утонуть."
Расскажи стишок про жирафа из зоопарка.,"С длинной шеей, весь пятнистый,
На высоких ножках,
Шел красивый, мускулистый
Жираф по дорожке.
Он из Африки, где жарко,
Переехал навсегда
И теперь по зоопарку
Он гуляет иногда."
"Расскажи нам, пожалуйста, какая самая важная профессия на свете и почему?","Учить трудиться, думать смело,
Шагать. Дороги хороши...
Нет в мире радостнее дела,
Чем воспитание души!
Наставникам стихи и песни,
Сверканье вдохновенных строк,
Мудрейшей изо всех профессий,
Величью звания: ""Педагог!""
Нет в мире должности прекрасней,
Труда отважней и милей...
Сияет синь. Сегодня праздник
Моих друзей, учителей!"
"Мама, давай на улице поиграем в песочнице?","Посреди двора – гора.
На горе идёт игра.
Прибегайте на часок,
Залезайте на песок:
Чистый, жёлтый и сырой,
Хочешь – рой,
А хочешь – строй,
Хочешь – куклам испеки
Золотые пирожки."
"Мама, а что внутри у сливы?","Слива, слива, моя слива,
Ты красива и вкусна.
Много мякоти на диво,
Ну, а косточка - одна."
Почему весной тает Дедушка Мороз?,"Если кончится мороз,
Снег растает белый,
Что же дедушка Мороз
Бедный станет делать?
Побежит с него вода
Ручейками на пол,
С бороды его тогда
Тоже станет капать?
Добрый дедушка Мороз,
Миленький, любименький!
Спрячься, дедушка Мороз,
В нашем холодильнике!"
"Мама, где живут чайки?","Чайки, чайки, где ваш дом?
На земле? На волне?
Или в синей вышине?
– Ну, конечно, на земле!
На земле рождаемся.
Ну, конечно, на волне!
На волне качаемся.
Ну, конечно, в вышине!
В вышине летаем.
Вот где, вот где мы живём!
Вот где обитаем!"
"Расскажи, как работают моряки на корабле?","Мы - моряки,
Плечи широки,
Крепкие руки,
Клёшем брюки.

Жарко в кочегарке!
В Африке не жарче!
Бьется пульс машинный,
Видно, что спешим мы...

Мы - моряки,
Плечи широки,
Крепкие руки,
Клёшем брюки.

Море в бурю
Волны хмурит,
В черное ненастье
Распевают снасти.

Ишь, какая качка!
Скачешь вроде мячика.
Эй, смотрите с палубы —
За борт не упали бы!

Мы - моряки,
Плечи широки,
Крепкие руки,
Клёшем брюки.

Мы - морские черти,
Все море исчертим."
"Мама, расскажи стишок про то, как просыпается природа утром?","Колокол дремавший
Разбудил поля,
Улыбнулась солнцу
Сонная земля.
Понеслись удары
К синим небесам,
Звонко раздается
Голос по лесам.
Скрылась за рекою,
Бледная луна,"
"Мама, а почему мы все так волнуемся сегодня вечером?","Волнуются мама, и папа, и я,
Весь вечер волнуется наша семья.
Давно всё готово – и форма, и бант. 
И чудо-цветы украшают сервант.
А мама растеряна: «Всё ли в порядке?» –
И снова на форме прогладила складки.
А папа забылся совсем от волненья -
Коту, вместо каши, он бухнул варенья.
Я тоже волнуюсь, и даже дрожу,
За мамой и папой весь вечер хожу:
«Поставьте будильник, чтоб нам не проспать.
На часиков шесть или лучше на пять».
Мне мама сказала: «Наивной не будь -
Я думаю, как бы сегодня заснуть!
Ведь ты завтра в школу пойдёшь в первый раз.
Всё завтра меняется в жизни у нас»."
"Мама, расскажи, пожалуйста, какие птицы живут у водоёма?","Я к воде теперь пойду.
Кто там плавает в пруду?
У кустов, где незабудки,
Стерегут рыбёшку утки.
Рядом выводок утят,
Все утята есть хотят.
Им о чём-то говоря,
Утки крякают: - Кря-кря!"
"Расскажи, пожалуйста, стихотворение про первый раз, когда я пошёл в школу и познакомился со своим первым учителем.","Ты помнишь, было вокруг
Море цветов и звуков.
Из теплых маминых рук
Учитель взял твою руку.
Он ввел тебя в первый класс
Торжественно и почтительно.
Твоя рука и сейчас
В руке твоего учителя.
Желтеют страницы книг,
Меняют названия реки,
Но ты его ученик:
Тогда, сейчас и навеки."
Почему в школе есть звонки?,"Поскорей звени, звонок,
Мы тебя заждались.
Ведь на первый наш урок
Год мы собирались."
"Папа, расскажи, что такое Пасха и почему она приносит столько вкусностей?","Словно яркая раскраска,
К нам домой, явилась Пасха.
Принесла в своём лукошке,
Яйца, булочки, лепёшки,
Пироги, блины и чай.
Пасху весело встречай!"
"Мама, почему ко мне не приходят мои друзья, когда я болею?","Я лежу, болею,
Сам себя жалею.
Повздыхаю на спине,
Снова на бок лягу...
Не идут друзья ко мне
Навестить беднягу.
Я лежу, болею,
Сам себя жалею.
Где товарищи мои?
Как проводят лето?
Без меня ведут бои
На футболе где-то...
Я лежу, болею,
Сам себя жалею.
Жду, когда в конце концов
Распахнутся двери
И ворвутся шесть мальцов,
Пять по крайней мере.
Но в квартире тишина...
Тру глаза спросонок,
Вдруг я вижу (вот те на!)—
Входят пять девчонок.
Пять девчонок сели в ряд
У моей кровати.
— Ну, довольно!— говорят.—
Поболел, и хватит.
Песни знаешь или нет?
Будешь запевалой!—
Я киваю им в ответ:
— Что ж, споем, пожалуй.
Танька (тонкий голосок,
Хвостик на затылке)
Говорит: — А это сок
Для тебя в бутылке.
Чудеса! Мальчишек жду,
А пришли девчата.
Я же с ними не в ладу,
Воевал когда-то.
Я лежу, болею,
Сам себя жалею,
Как с девчонками спою,
Сразу веселею."
"Расскажи, пожалуйста, как осень готовит землю к зиме?","Чтоб крошка земля без хлопот зимовала,
Ей осень лоскутное шьет одеяло.
Листок аккуратно к листку пришивает,
Сосновой иголкой стежок подгоняет.
Листочки на выбор – любой пригодится.
Вот рядом с багровым лиловый ложится,
Хоть очень по вкусу швее золотистый,
Сгодится и бурый, и даже пятнистый.
Скрепляет их бережно нить паутины.
Прекрасней, чем эта, не сыщешь картины."
"Расскажи стишок про рыбку, которая не хотела плавать.","Жил в озерке золотистый карасик,
Его приглашали поплавать хоть часик.
Ой, я ребята никак не могу,
Я - золотой, я себя берегу!"
А почему цветок такой красивый?,"На окне в такую рань
Распустилася герань.
Круглые листочки,
Пышные цветочки
Даже очень хороши -
Так решили мылыши."
"Мама, почему мама-уточка так учит своих утят плавать?","Рано, рано утречком
Вышла мама-уточка
Поучить утят.
Уж она их учит, учит!
Вы плывите, ути-ути,
Плавно, в ряд.
Хоть сыночек не велик,
Не велик,
Мама трусить не велит,
Не велит.
- Плыви, плыви,
Утёныш,
Не бойся,
Не утонешь."
